re, im
1047552.000000, 1047552.000000
0.000000, 0.000000
-334795.000000, 332747.000000
0.000000, 0.000000
-167907.937500, 165859.937500
0.000000, 0.000000
-112278.242188, 110230.218750
0.000000, 0.000000
-84462.828125, 82414.828125
0.000000, 0.000000
-67773.171875, 65725.187500
0.000000, 0.000000
-56646.406250, 54598.398438
0.000000, 0.000000
-48698.371094, 46650.382812
0.000000, 0.000000
-42737.132812, 40689.128906
0.000000, 0.000000
-38100.367188, 36052.375000
0.000000, 0.000000
-34390.730469, 32342.742188
0.000000, 0.000000
-31355.390625, 29307.402344
0.000000, 0.000000
-28825.777344, 26777.773438
0.000000, 0.000000
-26685.158203, 24637.160156
0.000000, 0.000000
-24850.187500, 22802.195312
0.000000, 0.000000
-23259.750000, 21211.773438
0.000000, 0.000000
-21867.998047, 19819.996094
0.000000, 0.000000
-20639.841797, 18591.855469
0.000000, 0.000000
-19548.042969, 17500.046875
0.000000, 0.000000
-18571.050781, 16523.052734
0.000000, 0.000000
-17691.652344, 15643.658203
0.000000, 0.000000
-16895.906250, 14847.914062
0.000000, 0.000000
-16172.411133, 14124.416016
0.000000, 0.000000
-15511.728516, 13463.736328
0.000000, 0.000000
-14906.030273, 12858.029297
0.000000, 0.000000
-14348.693359, 12300.698242
0.000000, 0.000000
-13834.148438, 11786.149414
0.000000, 0.000000
-13357.636719, 11309.644531
0.000000, 0.000000
-12915.088867, 10867.093750
0.000000, 0.000000
-12502.999023, 10455.001953
0.000000, 0.000000
-12118.296875, 10070.308594
0.000000, 0.000000
-11758.349609, 9710.357422
0.000000, 0.000000
-11420.845703, 9372.845703
0.000000, 0.000000
-11103.721680, 9055.718750
0.000000, 0.000000
-10805.193359, 8757.199219
0.000000, 0.000000
-10523.664062, 8475.666992
0.000000, 0.000000
-10257.718750, 8209.719727
0.000000, 0.000000
-10006.085938, 7958.089355
0.000000, 0.000000
-9767.646484, 7719.646973
0.000000, 0.000000
-9541.374023, 7493.377930
0.000000, 0.000000
-9326.371094, 7278.373535
0.000000, 0.000000
-9121.804688, 7073.803711
0.000000, 0.000000
-8926.920898, 6878.924805
0.000000, 0.000000
-8741.058594, 6693.061523
0.000000, 0.000000
-8563.595703, 6515.598145
0.000000, 0.000000
-8393.972656, 6345.974609
0.000000, 0.000000
-8231.675781, 6183.680176
0.000000, 0.000000
-8076.242188, 6028.250488
0.000000, 0.000000
-7927.247559, 5879.247559
0.000000, 0.000000
-7784.281738, 5736.288574
0.000000, 0.000000
-7647.000000, 5599.001953
0.000000, 0.000000
-7515.052246, 5467.056641
0.000000, 0.000000
-7388.146484, 5340.147461
0.000000, 0.000000
-7265.987305, 5217.987793
0.000000, 0.000000
-7148.309570, 5100.313477
0.000000, 0.000000
-7034.874023, 4986.876953
0.000000, 0.000000
-6925.453613, 4877.456543
0.000000, 0.000000
-6819.836914, 4771.841309
0.000000, 0.000000
-6717.826172, 4669.827637
0.000000, 0.000000
-6619.231934, 4571.234863
0.000000, 0.000000
-6523.891113, 4475.897461
0.000000, 0.000000
-6431.639648, 4383.643555
0.000000, 0.000000
-6342.333008, 4294.337402
0.000000, 0.000000
-6255.810547, 4207.809570
0.000000, 0.000000
-6171.995605, 4123.995605
0.000000, 0.000000
-6090.702148, 4042.712891
0.000000, 0.000000
-6011.846191, 3963.845215
0.000000, 0.000000
-5935.311523, 3887.310547
0.000000, 0.000000
-5860.995117, 3812.998047
0.000000, 0.000000
-5788.803711, 3740.803711
0.000000, 0.000000
-5718.641602, 3670.643311
0.000000, 0.000000
-5650.425293, 3602.427490
0.000000, 0.000000
-5584.079590, 3536.079834
0.000000, 0.000000
-5519.518555, 3471.519043
0.000000, 0.000000
-5456.672852, 3408.674316
0.000000, 0.000000
-5395.475098, 3347.477051
0.000000, 0.000000
-5335.861328, 3287.861328
0.000000, 0.000000
-5277.766602, 3229.766602
0.000000, 0.000000
-5221.131836, 3173.134033
0.000000, 0.000000
-5165.907227, 3117.911133
0.000000, 0.000000
-5112.036621, 3064.037598
0.000000, 0.000000
-5059.467773, 3011.470215
0.000000, 0.000000
-5008.158203, 2960.157227
0.000000, 0.000000
-4958.054688, 2910.055664
0.000000, 0.000000
-4909.119629, 2861.121582
0.000000, 0.000000
-4861.312500, 2813.313721
0.000000, 0.000000
-4814.590820, 2766.592041
0.000000, 0.000000
-4768.916016, 2720.919434
0.000000, 0.000000
-4724.259766, 2676.261230
0.000000, 0.000000
-4680.582031, 2632.582520
0.000000, 0.000000
-4637.848145, 2589.849121
0.000000, 0.000000
-4596.029297, 2548.032227
0.000000, 0.000000
-4555.097656, 2507.100098
0.000000, 0.000000
-4515.025879, 2467.026855
0.000000, 0.000000
-4475.777832, 2427.782227
0.000000, 0.000000
-4437.334473, 2389.339355
0.000000, 0.000000
-4399.675781, 2351.675781
0.000000, 0.000000
-4362.764160, 2314.764893
0.000000, 0.000000
-4326.586914, 2278.590332
0.000000, 0.000000
-4291.119141, 2243.119629
0.000000, 0.000000
-4256.338379, 2208.339355
